id,date,year,month,state_code,state_name,actual_rainfall_mm,rfs_raw,normal_rainfall_mm,deviation_pct,no_actual_rainfall_reported
14,2009-01-01,2009,1,35,Andaman And Nicobar Islands,,0.0,3.03,,True
49,2009-01-02,2009,1,35,Andaman And Nicobar Islands,,0.0,3.36,,True
84,2009-01-03,2009,1,35,Andaman And Nicobar Islands,,0.0,2.46,,True
119,2009-01-04,2009,1,35,Andaman And Nicobar Islands,,0.0,3.49,,True
154,2009-01-05,2009,1,35,Andaman And Nicobar Islands,,0.0,3.05,,True
189,2009-01-06,2009,1,35,Andaman And Nicobar Islands,,0.0,4.62,,True
224,2009-01-07,2009,1,35,Andaman And Nicobar Islands,,0.0,5.48,,True
259,2009-01-08,2009,1,35,Andaman And Nicobar Islands,,0.0,6.72,,True
294,2009-01-09,2009,1,35,Andaman And Nicobar Islands,,0.0,5.5,,True
329,2009-01-10,2009,1,35,Andaman And Nicobar Islands,,0.0,4.64,,True
364,2009-01-11,2009,1,35,Andaman And Nicobar Islands,,0.0,1.97,,True
399,2009-01-12,2009,1,35,Andaman And Nicobar Islands,,0.0,2.53,,True
434,2009-01-13,2009,1,35,Andaman And Nicobar Islands,,0.0,1.94,,True
469,2009-01-14,2009,1,35,Andaman And Nicobar Islands,,0.0,2.13,,True
504,2009-01-15,2009,1,35,Andaman And Nicobar Islands,,0.0,1.54,,True
539,2009-01-16,2009,1,35,Andaman And Nicobar Islands,,0.0,1.51,,True
574,2009-01-17,2009,1,35,Andaman And Nicobar Islands,,0.0,1.25,,True
609,2009-01-18,2009,1,35,Andaman And Nicobar Islands,,0.0,1.61,,True
644,2009-01-19,2009,1,35,Andaman And Nicobar Islands,,0.0,2.51,,True
679,2009-01-20,2009,1,35,Andaman And Nicobar Islands,,0.0,1.63,,True
714,2009-01-21,2009,1,35,Andaman And Nicobar Islands,,0.0,1.59,,True
749,2009-01-22,2009,1,35,Andaman And Nicobar Islands,,0.0,1.41,,True
784,2009-01-23,2009,1,35,Andaman And Nicobar Islands,,0.0,1.31,,True
819,2009-01-24,2009,1,35,Andaman And Nicobar Islands,,0.0,1.9,,True
854,2009-01-25,2009,1,35,Andaman And Nicobar Islands,,0.0,3.09,,True
889,2009-01-26,2009,1,35,Andaman And Nicobar Islands,,0.0,4.05,,True
924,2009-01-27,2009,1,35,Andaman And Nicobar Islands,,0.0,3.28,,True
