State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Anantapur,2023-07-01,2023,7,0.0813965959,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-02,2023,7,1.1175563292,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-03,2023,7,3.421007191,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-04,2023,7,1.0651198429,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-05,2023,7,5.7285053592,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-06,2023,7,0.1995624606,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-07,2023,7,0.3503153577,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-08,2023,7,0.6845596971,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-09,2023,7,0.2066854382,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-10,2023,7,0.5511231086,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-11,2023,7,0.0633414963,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-12,2023,7,1.7468276227,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-13,2023,7,2.1181673293,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-14,2023,7,1.0601099645,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-15,2023,7,0.0388146444,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-16,2023,7,0.8479594667,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-17,2023,7,0.5535642421,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-18,2023,7,3.1616671654,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-19,2023,7,1.6458898353,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-20,2023,7,3.163082321,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-21,2023,7,5.2767479608,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-22,2023,7,0.4313434764,IMD GRID MODEL
Andhra Pradesh,Anantapur,2023-07-23,2023,7,1.7492147576,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-01,2023,7,0.0320771297,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-02,2023,7,0.7019710739,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-03,2023,7,3.5180195172,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-04,2023,7,4.620443223,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-05,2023,7,7.6178153736,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-06,2023,7,0.5760900306,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-07,2023,7,0.0353906424,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-08,2023,7,0.6847797112,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-09,2023,7,3.7647942578,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-10,2023,7,0.8721159572,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-11,2023,7,1.1218311696,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-12,2023,7,2.5721156595,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-13,2023,7,1.5498522683,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-14,2023,7,1.5242748253,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-15,2023,7,0.0021416416,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-16,2023,7,0.2127577094,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-17,2023,7,0.0342662654,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-18,2023,7,1.0664566079,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-19,2023,7,0.1193526159,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-20,2023,7,0.8962142206,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-21,2023,7,0.4354493888,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-22,2023,7,0.0080586449,IMD GRID MODEL
Andhra Pradesh,Chittoor,2023-07-23,2023,7,5.1290378023,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-01,2023,7,NA,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-02,2023,7,0.249758523,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-03,2023,7,1.6379816966,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-04,2023,7,16.347479678,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-05,2023,7,9.5007928578,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-06,2023,7,16.463184953,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-07,2023,7,10.1531608193,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-08,2023,7,3.118136918,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-09,2023,7,1.9692819927,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-10,2023,7,1.1957886509,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-11,2023,7,6.9424044684,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-12,2023,7,3.0494448837,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-13,2023,7,11.5065864513,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-14,2023,7,16.8325257551,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-15,2023,7,4.3919775115,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-16,2023,7,5.5040322768,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-17,2023,7,7.2302025937,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-18,2023,7,13.5747561027,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-19,2023,7,25.5860238601,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-20,2023,7,19.400616834,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-21,2023,7,9.0687727442,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-22,2023,7,2.3515879512,IMD GRID MODEL
Andhra Pradesh,East Godavari,2023-07-23,2023,7,15.6051284899,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-01,2023,7,0.0099604666,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-02,2023,7,0.6444728627,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-03,2023,7,1.0140122158,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-04,2023,7,17.3773294951,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-05,2023,7,4.2469235858,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-06,2023,7,5.8383684961,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-07,2023,7,3.230010073,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-08,2023,7,1.1276909488,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-09,2023,7,0.5144132486,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-10,2023,7,25.0192395667,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-11,2023,7,1.1949352719,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-12,2023,7,1.080838444,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-13,2023,7,7.8141078054,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-14,2023,7,1.0474826895,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-15,2023,7,0.832141717,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-16,2023,7,2.581082826,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-17,2023,7,3.8854661319,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-18,2023,7,0.742073597,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-19,2023,7,6.8273626227,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-20,2023,7,1.9236685587,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-21,2023,7,5.9517789387,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-22,2023,7,4.5061196168,IMD GRID MODEL
Andhra Pradesh,Guntur,2023-07-23,2023,7,7.1318718228,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-01,2023,7,0.003833172,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-02,2023,7,0.3485471909,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-03,2023,7,0.7083322641,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-04,2023,7,11.6901469345,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-05,2023,7,5.734175526,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-06,2023,7,6.8831843322,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-07,2023,7,3.1058095484,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-08,2023,7,0.9481082163,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-09,2023,7,0.030987467,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-10,2023,7,20.2975946606,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-11,2023,7,2.5454592028,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-12,2023,7,2.2065755396,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-13,2023,7,35.3415878998,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-14,2023,7,10.1396707943,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-15,2023,7,7.2492124983,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-16,2023,7,8.0242498288,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-17,2023,7,1.556440528,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-18,2023,7,3.9303385831,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-19,2023,7,15.6250857248,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-20,2023,7,6.424361149,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-21,2023,7,14.6571735707,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-22,2023,7,6.2124287479,IMD GRID MODEL
Andhra Pradesh,Krishna,2023-07-23,2023,7,16.3879101107,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-01,2023,7,NA,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-02,2023,7,1.5945893085,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-03,2023,7,7.8152079946,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-04,2023,7,1.0347955818,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-05,2023,7,3.8041321776,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-06,2023,7,2.3892935204,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-07,2023,7,0.7832526983,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-08,2023,7,2.8972104333,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-09,2023,7,0.3326633557,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-10,2023,7,2.688481205,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-11,2023,7,0.0337377327,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-12,2023,7,0.0339985783,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-13,2023,7,2.8798614016,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-14,2023,7,0.8607251703,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-15,2023,7,0.5481272836,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-16,2023,7,4.2756406913,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-17,2023,7,0.2019115521,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-18,2023,7,3.0099170322,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-19,2023,7,4.9955748143,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-20,2023,7,4.0418371408,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-21,2023,7,11.5828155004,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-22,2023,7,8.2133000015,IMD GRID MODEL
Andhra Pradesh,Kurnool,2023-07-23,2023,7,3.1701773778,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-01,2023,7,0.0095424086,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-02,2023,7,0.5927255599,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-03,2023,7,2.46589765,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-04,2023,7,17.0984653369,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-05,2023,7,3.9172146924,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-06,2023,7,5.5055455166,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-07,2023,7,1.2798774888,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-08,2023,7,1.9375531388,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-09,2023,7,0.2122479513,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-10,2023,7,4.1845626616,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-11,2023,7,0.6032075517,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-12,2023,7,4.4414902468,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-13,2023,7,6.854476649,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-14,2023,7,3.2195646302,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-15,2023,7,0.074144598,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-16,2023,7,1.7224693509,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-17,2023,7,0.183448838,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-18,2023,7,0.3629194917,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-19,2023,7,4.8067476459,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-20,2023,7,2.9925004448,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-21,2023,7,2.2382584758,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-22,2023,7,2.9554125454,IMD GRID MODEL
Andhra Pradesh,Prakasam,2023-07-23,2023,7,2.133622621,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-01,2023,7,NA,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-02,2023,7,0.0410905336,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-03,2023,7,2.4306537196,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-04,2023,7,13.7004279303,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-05,2023,7,0.2684298817,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-06,2023,7,0.2901739944,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-07,2023,7,0.0158896484,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-08,2023,7,0.37061295,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-09,2023,7,0.2056133384,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-10,2023,7,2.6543599475,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-11,2023,7,0.1707654976,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-12,2023,7,3.5305408154,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-13,2023,7,6.9850077641,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-14,2023,7,1.1503720601,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-15,2023,7,NA,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-16,2023,7,0.9470341398,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-17,2023,7,NA,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-18,2023,7,0.9362448942,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-19,2023,7,0.6178981171,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-20,2023,7,1.0822841227,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-21,2023,7,2.3508176827,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-22,2023,7,0.0518767817,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,2023-07-23,2023,7,2.3775700786,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-01,2023,7,NA,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-02,2023,7,2.9267184311,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-03,2023,7,1.3977796924,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-04,2023,7,2.4680234482,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-05,2023,7,9.132404508,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-06,2023,7,17.0218084866,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-07,2023,7,2.3483390681,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-08,2023,7,11.5702136704,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-09,2023,7,0.0306482645,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-10,2023,7,0.5281662779,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-11,2023,7,5.6058328867,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-12,2023,7,24.7106316916,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-13,2023,7,0.7251366816,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-14,2023,7,3.208700826,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-15,2023,7,1.1854036294,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-16,2023,7,1.6897880518,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-17,2023,7,25.9288650429,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-18,2023,7,28.2613715966,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-19,2023,7,22.4466120731,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-20,2023,7,8.2950229225,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-21,2023,7,8.076668973,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-22,2023,7,0.9462441341,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2023-07-23,2023,7,4.434085291,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-01,2023,7,NA,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-02,2023,7,2.3844881057,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-03,2023,7,8.4798108922,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-04,2023,7,17.9202759829,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-05,2023,7,12.2496707735,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-06,2023,7,16.5945313757,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-07,2023,7,6.7251613724,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-08,2023,7,2.3135165989,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-09,2023,7,0.6369283836,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-10,2023,7,2.6612671588,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2023-07-11,2023,7,19.7978213341,IMD GRID MODEL
